thrL   189 254 cw
dgoA   3871017 3871634 ccw
dgoK   3871618 3872496 ccw
dgoR   3872493 3873182 ccw
yidX   3873460 3874116 cw
yidA   3874162 3874974 ccw
yidB   3875089 3875487 ccw
gyrB   3875727 3878141 ccw
recF   3878170 3879243 ccw
dnaN   3879243 3880343 ccw
dnaA   3880348 3881751 ccw
rpmH   3882358 3882498 cw
rnpA   3882515 3882874 cw
yidD   3882838 3883095 cw
yidC   3883098 3884744 cw
mnmE   3884850 3886214 cw
tnaC   3886457 3886531 cw
tnaA   3886752 3888167 cw
tnaB   3888258 3889505 cw
mdtL   3889637 3890812 cw
yidZ   3890787 3891746 cw
yieE   3891903 3892652 cw
yieF   3892674 3893240 cw
purP   3893294 3894631 ccw
yieH   3894796 3895461 cw
cbrB   3895528 3895995 cw
cbrC   3896044 3896631 cw
yieK   3896693 3897415 ccw
yieL   3897430 3898599 ccw
bglH   3898626 3900242 ccw
bglB   3900311 3901723 ccw
bglF   3901742 3903619 ccw
bglG   3903753 3904589 ccw
phoU   3904875 3905600 ccw
pstB   3905615 3906388 ccw
pstA   3906571 3907461 ccw
pstC   3907461 3908420 ccw
pstS   3908507 3909547 ccw
glmS   3909861 3911690 ccw
glmU   3911852 3913222 ccw
atpC   3913575 3913994 ccw
atpD   3914015 3915397 ccw
atpG   3915424 3916287 ccw
atpA   3916338 3917879 ccw
atpH   3917892 3918425 ccw
atpF   3918440 3918910 ccw
atpE   3918972 3919211 ccw
atpB   3919258 3920073 ccw
atpI   3920082 3920462 ccw
rsmG   3921079 3921702 ccw
mnmG   3921766 3923655 ccw
mioC   3924034 3924477 ccw
asnC   3924567 3925025 ccw
asnA   3925177 3926169 cw
viaA   3926174 3927625 ccw
ravA   3927619 3929115 ccw
kup    3929338 3931206 cw
rbsD   3931373 3931792 cw
rbsA   3931800 3933305 cw
rbsC   3933310 3934275 cw
rbsB   3934300 3935190 cw
rbsK   3935316 3936245 cw
rbsR   3936249 3937241 cw
hsrA   3937207 3938634 ccw
yieP   3938657 3939349 ccw
hdfR   3945150 3945989 ccw
yifE   3946108 3946446 cw
yifB   3946471 3947991 ccw
ilvL   3948344 3948442 cw
ilvX   3948529 3948579 cw
ilvG   3948582 3950226 cw
ilvM   3950223 3950486 cw
ilvE   3950506 3951435 cw
ilvD   3951500 3953350 cw
ilvA   3953353 3954897 cw
ilvY   3954949 3955842 ccw
ilvC   3955992 3957467 cw
ppiC   3957554 3957835 ccw
yifN   3958034 3958482 ccw
rep    3958699 3960720 cw
gpp    3960767 3962251 ccw
rhlB   3962387 3963652 ccw
trxA   3963783 3964112 cw
rho    3964439 3965698 cw
rfe    3965938 3967041 cw
wzzE   3967053 3968099 cw
rffE   3968155 3969285 cw
rffD   3969282 3970544 cw
rffG   3970544 3971611 cw
rffH   3971630 3972511 cw
rffC   3972489 3973163 cw
rffA   3973168 3974298 cw
wzxE   3974300 3975550 cw
rffT   3975547 3976626 cw
wzyE   3976623 3977975 cw
rffM   3977978 3978718 cw
yifK   3978909 3980294 cw
aslB   3980980 3982215 cw
aslA   3982374 3984029 ccw
hemY   3984708 3985904 ccw
hemX   3985907 3987088 ccw
hemD   3987110 3987850 ccw
hemC   3987847 3988788 ccw
cyaA   3989175 3991721 cw
cyaY   3991761 3992081 ccw
yifL   3992544 3992747 cw
dapF   3992784 3993608 cw
yigA   3993605 3994312 cw
xerC   3994309 3995205 cw
yigB   3995205 3995921 cw
uvrD   3996005 3998167 cw
yigE   3998314 3999078 ccw
corA   3999448 4000398 cw
yigF   4000441 4000821 ccw
yigG   4000835 4001215 ccw
rarD   4001310 4002200 ccw
yigI   4002252 4002719 ccw
pldA   4002884 4003753 cw
recQ   4003886 4005715 cw
rhtC   4005779 4006399 cw
rhtB   4006461 4007081 ccw
pldB   4007192 4008214 cw
yigL   4008222 4009022 cw
yigM   4009098 4009997 cw
metR   4009885 4010838 ccw
metE   4011075 4013336 cw
ysgA   4013376 4014191 ccw
udp    4014453 4015214 cw
rmuC   4015355 4016782 cw
ubiE   4016877 4017632 cw
yigP   4017646 4018251 cw
ubiB   4018248 4019888 cw
tatA   4019967 4020236 cw
tatB   4020240 4020755 cw
tatC   4020758 4021534 cw
tatD   4021576 4022358 cw
rfaH   4022355 4022843 ccw
ubiD   4023010 4024503 cw
fre    4024549 4025250 cw
fadA   4025631 4026794 ccw
fadB   4026804 4028993 ccw
pepQ   4029183 4030514 cw
yigZ   4030514 4031128 cw
trkH   4031167 4032618 cw
hemG   4032630 4033175 cw
mobB   4038928 4039455 ccw
mobA   4039437 4040021 ccw
yihD   4040091 4040360 cw
rdoA   4040437 4041423 cw
dsbA   4041440 4042066 cw
yihF   4042221 4043651 cw
yihG   4043692 4044624 ccw
polA   4044988 4047774 cw
yihA   4048155 4048787 ccw
yihI   4049369 4049878 cw
hemN   4050067 4051440 cw
yshB   4051669 4051779 ccw
glnG   4051891 4053300 ccw
glnL   4053312 4054361 ccw
glnA   4054647 4056056 ccw
typA   4056429 4058252 cw
yihL   4058469 4059179 cw
yihM   4059187 4060167 cw
yihN   4060269 4061534 cw
ompL   4061625 4062317 ccw
yihO   4062385 4063788 ccw
yihP   4063831 4065216 ccw
yihQ   4065262 4067298 ccw
yihR   4067497 4068423 ccw
yihS   4068537 4069778 ccw
yihT   4069795 4070673 ccw
yihU   4070697 4071593 ccw
yihV   4071761 4072657 cw
yihW   4072691 4073476 cw
yihX   4073575 4074174 cw
yihY   4074168 4075040 cw
dtd    4075037 4075474 cw
yiiD   4075471 4076460 cw
yiiE   4077319 4077531 cw
yiiF   4077773 4077991 cw
fdhE   4078321 4079250 ccw
fdoI   4079247 4079882 ccw
fdoH   4079879 4080781 ccw
fdoG   4080794 4083844 ccw
fdhD   4084038 4084871 cw
yiiG   4085024 4086079 cw
frvR   4086129 4087877 ccw
frvX   4087877 4088947 ccw
frvB   4088937 4090388 ccw
frvA   4090399 4090845 ccw
rhaM   4091146 4091460 ccw
rhaD   4091470 4092294 ccw
rhaA   4092745 4094004 ccw
rhaB   4094001 4095470 ccw
rhaS   4095758 4096594 cw
rhaR   4096668 4097516 cw
rhaT   4097513 4098547 ccw
sodA   4098832 4099452 cw
kdgT   4099712 4100695 cw
yiiM   4100844 4101518 cw
cpxA   4101624 4102997 ccw
cpxR   4102994 4103692 ccw
cpxP   4103842 4104342 cw
fieF   4104491 4105393 cw
pfkA   4105574 4106536 cw
sbp    4106856 4107845 cw
cdh    4107952 4108707 cw
tpiA   4108762 4109529 ccw
yiiQ   4109637 4110236 ccw
yiiR   4110337 4110777 cw
yiiS   4110989 4111288 cw
uspD   4111315 4111743 cw
fpr    4111748 4112494 ccw
glpX   4112591 4113601 ccw
glpK   4113736 4115244 ccw
glpF   4115267 4116112 ccw
zapB   4116537 4116782 cw
rraA   4116867 4117352 ccw
menA   4117445 4118371 ccw
hslU   4118438 4119769 ccw
hslV   4119779 4120309 ccw
ftsN   4120402 4121361 ccw
cytR   4121453 4122478 ccw
priA   4122634 4124832 ccw
rpmE   4125035 4125247 cw
yiiX   4125308 4125916 ccw
metJ   4126100 4126417 ccw
metB   4126694 4127854 cw
metL   4127857 4130289 cw
metF   4130638 4131528 cw
katG   4131857 4134037 cw
yijE   4134130 4135035 cw
yijF   4135062 4135679 ccw
gldA   4135954 4137057 ccw
fsaB   4137068 4137730 ccw
ptsA   4137742 4140243 ccw
frwC   4140552 4141631 cw
frwB   4141646 4141966 cw
pflD   4142017 4144314 cw
pflC   4144280 4145158 cw
frwD   4145160 4145501 cw
yijO   4145488 4146339 ccw
yijP   4146554 4148287 ccw
ppc    4148469 4151120 ccw
argE   4151718 4152869 ccw
argC   4153023 4154027 cw
argB   4154035 4154811 cw
argH   4154872 4156245 cw
oxyR   4156512 4157429 cw
sthA   4157412 4158812 ccw
fabR   4159146 4159793 cw
yijD   4159793 4160152 cw
trmA   4160192 4161292 ccw
btuB   4161661 4163505 cw
murI   4163450 4164307 cw
murB   4170079 4171107 cw
birA   4171104 4172069 cw
coaA   4172098 4173048 ccw
tufB   4173966 4175150 cw
secE   4175380 4175763 cw
nusG   4175765 4176310 cw
rplK   4176469 4176897 cw
rplA   4176901 4177605 cw
rplJ   4178018 4178515 cw
rplL   4178582 4178947 cw
rpoB   4179267 4183295 cw
rpoC   4183372 4187595 cw
yjaZ   4187808 4188347 cw
thiH   4188757 4189890 ccw
thiG   4189887 4190657 ccw
thiS   4190659 4190859 ccw
thiF   4190843 4191598 ccw
thiE   4191591 4192226 ccw
thiC   4192226 4194121 ccw
rsd    4194354 4194830 ccw
nudC   4194925 4195698 cw
hemE   4195738 4196802 cw
nfi    4196812 4197483 cw
yjaG   4197526 4198116 cw
hupA   4198303 4198575 cw
yjaH   4198588 4199283 cw
zraP   4199285 4199710 ccw
zraS   4199948 4201345 cw
zraR   4201342 4202667 cw
purD   4202664 4203953 ccw
purH   4203965 4205554 ccw
yjaA   4211256 4211639 cw
yjaB   4211702 4212145 ccw
metA   4212302 4213231 cw
aceB   4213500 4215101 cw
aceA   4215131 4216435 cw
aceK   4216618 4218354 cw
arpA   4218323 4220509 ccw
iclR   4220826 4221650 ccw
metH   4221850 4225533 cw
yjbB   4225753 4227384 cw
pepE   4227475 4228164 ccw
rluF   4228376 4229248 cw
yjbD   4229381 4229653 ccw
lysC   4229906 4231255 ccw
pgi    4231780 4233429 cw
yjbE   4233928 4234170 cw
yjbF   4234284 4234922 cw
yjbG   4234919 4235656 cw
yjbH   4235656 4237752 cw
yjbT   4237799 4238077 ccw
psiE   4238347 4238757 cw
xylE   4238801 4240276 ccw
malG   4240648 4241538 ccw
malF   4241553 4243097 ccw
malE   4243251 4244441 ccw
malK   4244806 4245921 cw
lamB   4245993 4247333 cw
malM   4247576 4248496 cw
yjbI   4248725 4250305 cw
ubiC   4250528 4251025 cw
ubiA   4251038 4251910 cw
plsB   4252065 4254488 ccw
dgkA   4254659 4255027 cw
lexA   4255137 4255745 cw
dinF   4255764 4257143 cw
yjbJ   4257259 4257468 cw
zur    4257510 4258025 ccw
yjbL   4258343 4258597 cw
yjbM   4258621 4259328 cw
dusA   4259736 4260728 cw
pspG   4260862 4261104 cw
qorA   4261270 4262253 ccw
dnaB   4262336 4263751 cw
alr    4263804 4264883 cw
tyrB   4265136 4266329 cw
yjbS   4266831 4267034 ccw
aphA   4267436 4268149 cw
yjbQ   4268260 4268676 cw
yjbR   4268680 4269036 cw
uvrA   4269071 4271893 ccw
ssb    4272147 4272683 cw
yjcB   4272782 4273063 ccw
yjcC   4273493 4275079 cw
soxS   4275082 4275405 ccw
soxR   4275491 4275955 cw
yjcD   4276501 4277850 cw
yjcE   4278002 4279651 cw
yjcF   4279805 4281097 ccw
actP   4281275 4282924 ccw
yjcH   4282921 4283235 ccw
acs    4283435 4285393 ccw
nrfA   4285786 4287222 cw
nrfB   4287267 4287833 cw
nrfC   4287830 4288501 cw
nrfD   4288498 4289454 cw
nrfE   4289534 4291192 cw
nrfF   4291185 4291568 cw
nrfG   4291565 4292161 cw
gltP   4292503 4293816 cw
yjcO   4294458 4295147 ccw
fdhF   4295241 4297388 ccw
mdtP   4297586 4299052 ccw
mdtO   4299049 4301100 ccw
mdtN   4301100 4302131 ccw
ytcA   4302150 4302425 ccw
yjcS   4302634 4304619 ccw
alsK   4304892 4305821 ccw
alsE   4305805 4306500 ccw
alsC   4306511 4307491 ccw
alsA   4307470 4309002 ccw
alsB   4309129 4310064 ccw
rpiR   4310123 4311013 ccw
rpiB   4311372 4311821 cw
yjdP   4311890 4312219 cw
phnP   4312366 4313124 ccw
phnO   4313126 4313560 ccw
phnN   4313547 4314104 ccw
phnM   4314104 4315240 ccw
phnL   4315237 4315917 ccw
phnK   4316028 4316786 ccw
phnJ   4316783 4317628 ccw
phnI   4317621 4318685 ccw
phnH   4318685 4319269 ccw
phnG   4319266 4319718 ccw
phnF   4319719 4320444 ccw
phnE   4320465 4321252 ccw
phnD   4321358 4322374 ccw
phnC   4322399 4323187 ccw
yjdN   4323320 4323763 ccw
yjdM   4324421 4324756 ccw
yjdA   4325157 4327385 cw
yjcZ   4327382 4328260 cw
proP   4328524 4330026 cw
pmrR   4330138 4330227 cw
basS   4330203 4331294 ccw
basR   4331304 4331972 ccw
eptA   4331969 4333612 ccw
adiC   4333716 4335053 ccw
adiY   4335190 4335951 ccw
adiA   4336276 4338543 ccw
melR   4338742 4339650 ccw
melA   4339933 4341288 cw
melB   4341391 4342812 cw
yjdF   4342951 4343580 ccw
fumB   4343702 4345348 ccw
dcuB   4345426 4346766 ccw
dcuR   4347337 4348056 ccw
dcuS   4348053 4349684 ccw
yjdI   4349865 4350095 cw
yjdJ   4350107 4350379 cw
yjdK   4350606 4350902 cw
yjdO   4350930 4351103 cw
lysU   4351222 4352739 ccw
yjdL   4352976 4354433 ccw
cadA   4354492 4356639 ccw
cadB   4356719 4358053 ccw
cadC   4358418 4359956 ccw
yjdQ   4360213 4360375 ccw
yjdC   4360755 4361330 ccw
dsbD   4361367 4363064 ccw
cutA   4363040 4363378 ccw
dcuA   4363494 4364795 ccw
aspA   4364913 4366349 ccw
fxsA   4366686 4367162 cw
yjeH   4367178 4368434 ccw
groS   4368710 4369003 cw
groL   4369047 4370693 cw
yjeI   4370831 4371184 cw
yjeJ   4371387 4372256 ccw
yjeK   4372651 4373679 ccw
efp    4373721 4374287 cw
ecnA   4374339 4374464 cw
ecnB   4374575 4374721 cw
sugE   4374897 4375214 cw
blc    4375211 4375744 ccw
ampC   4375833 4376966 ccw
frdD   4377029 4377388 ccw
frdC   4377399 4377794 ccw
frdB   4377805 4378539 ccw
frdA   4378532 4380340 ccw
yjeA   4380665 4381642 cw
yjeM   4381861 4383363 cw
yjeN   4383415 4383729 cw
yjeO   4383726 4384040 cw
yjeP   4384069 4387392 ccw
psd    4387414 4388382 ccw
rsgA   4388479 4389531 ccw
orn    4389626 4390171 cw
yjeV   4390914 4390967 cw
queG   4390950 4392089 ccw
yjeF   4392088 4393635 cw
yjeE   4393607 4394068 cw
amiB   4394087 4395424 cw
mutL   4395434 4397281 cw
miaA   4397274 4398224 cw
hfq    4398310 4398618 cw
hflX   4398694 4399974 cw
hflK   4400060 4401319 cw
hflC   4401322 4402326 cw
yjeT   4402408 4402605 cw
purA   4402709 4404007 cw
nsrR   4404212 4404637 cw
rnr    4404676 4407117 cw
rlmB   4407297 4408028 cw
yjfI   4408155 4408556 cw
yjfJ   4408575 4409273 cw
yjfK   4409324 4409983 cw
yjfL   4410001 4410399 cw
yjfM   4410409 4411047 cw
yjfC   4411050 4412213 cw
aidB   4412297 4413922 cw
yjfN   4414039 4414314 ccw
bsmA   4414463 4414792 ccw
yjfP   4414974 4415723 cw
ulaR   4415720 4416475 ccw
ulaG   4416583 4417647 ccw
ulaA   4418002 4419399 cw
ulaB   4419415 4419720 cw
ulaC   4419730 4420194 cw
ulaD   4420208 4420858 cw
ulaE   4420868 4421722 cw
ulaF   4421722 4422408 cw
yjfY   4422538 4422813 ccw
rpsF   4423140 4423535 cw
priB   4423542 4423856 cw
rpsR   4423861 4424088 cw
rplI   4424130 4424579 cw
yjfZ   4424650 4425444 ccw
ytfA   4425716 4426117 cw
ytfB   4426101 4426739 ccw
fklB   4426957 4427577 cw
cycA   4427886 4429298 cw
ytfE   4429343 4430005 ccw
ytfF   4430113 4431078 ccw
qorB   4431186 4432046 ccw
ytfH   4432135 4432515 cw
cpdB   4432644 4434587 ccw
cysQ   4434777 4435517 cw
ytfI   4435729 4436667 cw
ytfJ   4436730 4437284 ccw
ytfK   4437609 4437815 cw
ytfL   4437894 4439237 ccw
msrA   4439560 4440198 ccw
ytfM   4440404 4442137 cw
ytfN   4442134 4445913 cw
ytfP   4445916 4446257 cw
chpS   4446469 4446720 cw
chpB   4446714 4447064 cw
ppa    4447144 4447674 ccw
ytfQ   4447984 4448940 cw
ytfR   4449080 4450582 cw
ytfT   4450593 4451618 cw
yjfF   4451605 4452600 cw
fbp    4452633 4453631 ccw
mpl    4453807 4455180 cw
yjgA   4455336 4455887 ccw
pmbA   4455981 4457333 cw
cybC   4457512 4457877 cw
nrdG   4457922 4458386 ccw
nrdD   4458544 4460682 ccw
treC   4461076 4462731 ccw
treB   4462781 4464202 ccw
treR   4464321 4465268 ccw
mgtL   4465453 4465506 cw
mgtA   4465647 4468343 cw
yjgF   4468549 4468935 ccw
pyrI   4469008 4469469 ccw
pyrB   4469482 4470417 ccw
pyrL   4470421 4470555 ccw
yjgH   4470836 4471231 ccw
yjgI   4471362 4472075 ccw
yjgJ   4472146 4472739 cw
tabA   4472884 4473336 cw
yjgL   4473459 4475273 cw
argI   4475329 4476333 ccw
rraB   4476495 4476911 cw
yjgM   4477056 4477559 ccw
yjgN   4477752 4478948 cw
valS   4479004 4481859 ccw
holC   4481859 4482302 ccw
pepA   4482462 4483973 ccw
lptF   4484240 4485340 cw
lptG   4485340 4486422 cw
yjgR   4486583 4488085 ccw
idnR   4488163 4489161 ccw
idnT   4489228 4490547 ccw
idnO   4490609 4491373 ccw
idnD   4491397 4492428 ccw
idnK   4492645 4493208 cw
yjgB   4493212 4494231 ccw
intB   4494697 4495962 cw
insC   4496294 4496659 cw
insD   4496617 4497522 cw
yjgX   4497615 4498813 ccw
yjgZ   4499282 4499611 cw
insG   4500125 4501453 ccw
yjhB   4502080 4503297 cw
yjhC   4503309 4504427 cw
ythA   4504470 4504595 cw
yjhD   4504648 4504878 ccw
yjhE   4504883 4505131 cw
insO   4505219 4507815 cw
insI   4505488 4506639 ccw
insM   4506698 4506964 ccw
yjhV   4507826 4508155 cw
fecE   4508712 4509479 ccw
fecD   4509480 4510436 ccw
fecC   4510433 4511431 ccw
fecB   4511428 4512330 ccw
fecA   4512375 4514699 ccw
fecR   4514786 4515739 ccw
fecI   4515736 4516257 ccw
insA   4516549 4516824 cw
insB   4516743 4517246 cw
yjhU   4517360 4518346 ccw
yjhF   4518693 4520042 ccw
yjhG   4520149 4522116 ccw
yjhH   4522127 4523032 ccw
yjhI   4523037 4523825 ccw
sgcR   4524128 4524910 ccw
sgcE   4524927 4525559 ccw
sgcA   4525571 4526002 ccw
sgcQ   4526133 4526939 ccw
sgcC   4526952 4528265 ccw
sgcB   4528277 4528555 ccw
sgcX   4528552 4529673 ccw
yjhY   4530072 4530332 ccw
yjhP   4530459 4531205 ccw
yjhQ   4531261 4531806 ccw
yjhX   4531818 4532075 ccw
yjhZ   4532452 4532697 ccw
yjhR   4532813 4534053 cw
nanS   4534636 4535616 ccw
nanM   4535681 4536787 ccw
nanC   4536807 4537523 ccw
fimB   4538979 4539581 cw
fimE   4540059 4540655 cw
fimA   4541137 4541685 cw
fimI   4541750 4542289 cw
fimC   4542326 4543051 cw
fimD   4543118 4545754 cw
fimF   4545764 4546294 cw
fimG   4546307 4546810 cw
fimH   4546830 4547732 cw
gntP   4547975 4549318 ccw
uxuA   4549658 4550842 cw
uxuB   4550923 4552383 cw
uxuR   4552598 4553371 cw
yjiC   4553512 4554342 ccw
iraD   4555015 4555407 cw
qseD   4555400 4556311 ccw
iadA   4556376 4557548 ccw
yjiG   4557561 4558022 ccw
yjiH   4558019 4558702 ccw
kptA   4558952 4559506 cw
yjiJ   4559519 4560697 ccw
yjiK   4560765 4561625 ccw
yjiL   4561944 4562711 ccw
yjiM   4562721 4563872 ccw
yjiN   4563988 4565268 ccw
mdtM   4565309 4566541 ccw
yjiP   4567020 4567940 cw
yjiR   4568184 4569596 ccw
yjiS   4569773 4569937 cw
yjiT   4570436 4571938 cw
yjiV   4571941 4574877 cw
mcrC   4574934 4575980 ccw
mcrB   4575980 4577359 ccw
symE   4577521 4577862 ccw
hsdS   4578090 4579484 ccw
hsdM   4579481 4581070 ccw
hsdR   4581271 4584783 ccw
mrr    4584971 4585885 cw
yjiA   4585931 4586887 ccw
yjiX   4586898 4587101 ccw
yjiY   4587151 4589301 ccw
tsr    4589679 4591334 cw
yjjL   4591383 4592744 ccw
yjjM   4592959 4593873 ccw
yjjN   4594012 4595034 cw
opgB   4595172 4597463 ccw
yjjA   4597717 4598211 ccw
dnaC   4598260 4598997 ccw
dnaT   4599000 4599539 ccw
yjjB   4599646 4600119 ccw
yjjP   4600110 4600880 ccw
yjjQ   4601499 4602224 cw
bglJ   4602182 4602859 cw
fhuF   4602897 4603685 ccw
yjjZ   4603826 4604062 cw
rsmC   4604691 4605722 ccw
holD   4605825 4606238 cw
rimI   4606207 4606653 cw
yjjG   4606668 4607345 cw
prfC   4607436 4609025 cw
osmY   4609418 4610023 cw
ytjA   4610150 4610311 cw
yjjU   4610433 4611506 cw
yjjV   4611503 4612282 cw
yjjW   4612702 4613565 ccw
yjjI   4613537 4615087 ccw
deoC   4615345 4616124 cw
deoA   4616251 4617573 cw
deoB   4617625 4618848 cw
deoD   4618905 4619624 cw
yjjJ   4619791 4621122 cw
lplA   4621123 4622139 ccw
ytjB   4622167 4622811 ccw
serB   4622917 4623885 cw
radA   4623934 4625316 cw
nadR   4625337 4626569 cw
yjjK   4626877 4628544 ccw
slt    4628755 4630692 cw
trpR   4630782 4631108 cw
yjjX   4631255 4631767 ccw
ytjC   4631819 4632466 cw
rob    4632463 4633332 ccw
creA   4633543 4634016 cw
creB   4634029 4634718 cw
creC   4634718 4636142 cw
creD   4636200 4637552 cw
arcA   4637612 4638328 ccw
yjjY   4638424 4638564 cw
yjtD   4638964 4639650 cw
